# BJD FLUX E_FLUX MAG E_MAG FLAG
8476.641189 0.956006 0.001614 0.048848 0.001833 1
8476.662003 0.965770 0.001618 0.037816 0.001819 1
8476.682816 0.966740 0.001620 0.036725 0.001819 1
8476.703690 0.971323 0.001622 0.031591 0.001814 1
8476.724503 0.968220 0.001620 0.035065 0.001817 1
8476.745316 0.975285 0.001624 0.027171 0.001808 1
8476.766190 0.975188 0.001625 0.027279 0.001809 1
8476.787004 0.974662 0.001624 0.027864 0.001810 1
8476.807817 0.973982 0.001625 0.028623 0.001812 1
8476.828691 0.974705 0.001624 0.027817 0.001808 1
8476.849504 0.974148 0.001624 0.028438 0.001810 1
8476.870317 0.972864 0.001625 0.029870 0.001814 1
8476.891191 0.961739 0.001616 0.042357 0.001824 1
8476.912004 0.868381 0.001572 0.153224 0.001965 1
8476.932818 0.799106 0.001535 0.243490 0.002086 1
8476.953692 0.870274 0.001573 0.150859 0.001962 1
8476.974505 0.962888 0.001619 0.041061 0.001826 1
8476.995318 0.970171 0.001633 0.032879 0.001828 1
8477.016192 0.969159 0.001663 0.034012 0.001863 1
8478.120320 0.913662 0.001903 0.098036 0.002261 1
8478.141194 0.917956 0.001865 0.092945 0.002206 1
8478.162007 0.917487 0.001829 0.093500 0.002165 1
8478.182820 0.888139 0.001788 0.128797 0.002186 1
8478.203694 0.725215 0.001678 0.348833 0.002513 1
8478.224507 0.646856 0.001617 0.472981 0.002714 1
8478.245320 0.798053 0.001688 0.244921 0.002297 1
8478.266194 0.913405 0.001739 0.098342 0.002067 1
8478.287007 0.924765 0.001736 0.084921 0.002038 1
8478.307820 0.928613 0.001731 0.080413 0.002024 1
8478.328694 0.970455 0.001742 0.032561 0.001949 1
8478.349507 0.957873 0.001729 0.046730 0.001959 1
8478.370320 0.954092 0.001718 0.051024 0.001956 1
8478.391194 0.962002 0.001715 0.042060 0.001936 1
8478.412007 0.965189 0.001708 0.038469 0.001921 1
8478.432820 0.964152 0.001700 0.039636 0.001914 1
8478.453694 0.965092 0.001690 0.038578 0.001902 1
8478.474507 0.976877 0.001695 0.025400 0.001884 1
8478.495320 0.983261 0.001693 0.018328 0.001870 1
8478.516194 0.985402 0.001688 0.015966 0.001860 1
8478.537006 0.982436 0.001688 0.019239 0.001865 1
8478.557819 0.972635 0.001681 0.030125 0.001877 1
8478.578693 0.974942 0.001681 0.027554 0.001872 1
8478.599506 0.983347 0.001686 0.018234 0.001862 1
8478.620319 0.933723 0.001655 0.074454 0.001924 1
8478.641193 0.829556 0.001599 0.202885 0.002092 1
8478.662006 0.836626 0.001603 0.193671 0.002081 1
8478.682819 0.945666 0.001658 0.060655 0.001904 1
8478.703693 0.985556 0.001677 0.015797 0.001848 1
8478.724506 0.987300 0.001676 0.013877 0.001844 1
8478.745319 0.986180 0.001677 0.015109 0.001846 1
8478.766193 0.993400 0.001677 0.007189 0.001833 1
8478.787006 0.986077 0.001676 0.015223 0.001845 1
8478.807819 0.995173 0.001677 0.005253 0.001830 1
8478.828692 0.991565 0.001674 0.009197 0.001833 1
8478.849505 0.985824 0.001674 0.015502 0.001844 1
8478.870318 0.986916 0.001670 0.014299 0.001837 1
8478.891192 0.982791 0.001668 0.018847 0.001842 1
8478.912005 0.976784 0.001664 0.025503 0.001850 1
8478.932818 0.970420 0.001662 0.032601 0.001860 1
8478.953692 0.967798 0.001658 0.035538 0.001860 1
8478.974505 0.965044 0.001655 0.038633 0.001862 1
8478.995318 0.956470 0.001652 0.048321 0.001875 1
8479.016192 0.949009 0.001647 0.056825 0.001884 0
8479.037005 0.936946 0.001639 0.070713 0.001899 0
8479.057818 0.794550 0.001565 0.249698 0.002139 0
8479.078692 0.666183 0.001490 0.441017 0.002429 0
8479.099505 0.781643 0.001554 0.267479 0.002159 0
8479.120318 0.934393 0.001634 0.073676 0.001899 0
8479.141192 0.954216 0.001644 0.050884 0.001870 0
8479.162005 0.958236 0.001645 0.046319 0.001864 0
8479.182818 0.964311 0.001649 0.039458 0.001857 0
8479.203692 0.974406 0.001654 0.028150 0.001843 0
8479.224505 0.979943 0.001654 0.021998 0.001833 0
8479.245318 0.982475 0.001656 0.019196 0.001830 0
8479.266192 0.989181 0.001660 0.011810 0.001822 0
8479.287005 0.997887 0.001658 0.002297 0.001804 0
8479.307818 0.993312 0.001659 0.007286 0.001813 0
8479.328692 1.001040 0.001660 -0.001129 0.001801 0
8479.349505 0.997907 0.001662 0.002274 0.001809 0
8479.370318 0.999538 0.001660 0.000501 0.001803 0
8479.391192 1.001459 0.001661 -0.001583 0.001801 0
8479.412005 1.001039 0.001665 -0.001128 0.001805 0
8479.432818 1.000010 0.001659 -0.000011 0.001801 0
8479.453692 0.997993 0.001659 0.002182 0.001804 0
8479.474505 0.968478 0.001643 0.034776 0.001842 0
8479.495318 0.856532 0.001587 0.168141 0.002012 0
8479.516192 0.827031 0.001569 0.206195 0.002060 0
8479.537005 0.932615 0.001622 0.075744 0.001889 0
8479.557818 0.997838 0.001658 0.002350 0.001804 0
8479.578692 1.001940 0.001656 -0.002104 0.001794 0
8479.599505 0.994517 0.001654 0.005969 0.001806 0
